1,Urugvaj, Montevideo
2,Italija, Rim
3,Francuska, Pariz
4,Brazil, Brazilija
5,Svajcarska, Cirih
6,Svedska, Stokholm
7,Cile, Santjago
8,Engleska, London
9,Meksiko, Meksiko
10,Nemacka, Berlin
11,Argentina, Buenos Ajres 
12,Spanija, Madrid
13,USA, Vašington
14,Japan, Tokio
15,Juznoafricka republika, Pretorija
16,Rusija, Moskva
